canonical_arxiv_id,published_month,primary_category,categories_text,rule_primary_paradigm,rule_secondary_paradigms,rule_confidence_proxy,rule_total_score,rule_score_json
2607.07469,2026-07,cs.CL,"cs.CL, cs.AI",Benchmark/Evaluation,Dataset/Benchmark,0.6667,3,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 0, ""Multimodal"": 0, ""Benchmark/Evaluation"": 2, ""Dataset/Benchmark"": 1, ""Theory/Methodology"": 0, ""Application"": 0}"
2607.07468,2026-07,stat.ML,"stat.ML, cs.LG, math.ST",Theory/Methodology,Efficiency/Optimization | Multimodal,0.5,8,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 3, ""Multimodal"": 1, ""Benchmark/Evaluation"": 0, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 4, ""Application"": 0}"
2607.07467,2026-07,cs.AI,cs.AI,Agent/Tool Use,Dataset/Benchmark | Efficiency/Optimization | Application,0.4167,12,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 5, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 2, ""Multimodal"": 0, ""Benchmark/Evaluation"": 1, ""Dataset/Benchmark"": 3, ""Theory/Methodology"": 0, ""Application"": 1}"
2607.07408,2026-07,cs.CL,cs.CL,Multimodal,Benchmark/Evaluation | Dataset/Benchmark,0.5,4,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 0, ""Multimodal"": 2, ""Benchmark/Evaluation"": 1, ""Dataset/Benchmark"": 1, ""Theory/Methodology"": 0, ""Application"": 0}"
2607.07401,2026-07,cs.CV,"cs.CV, cs.AI, cs.LG",Application,Multimodal | Efficiency/Optimization,0.4286,7,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 1, ""Multimodal"": 3, ""Benchmark/Evaluation"": 0, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 0, ""Application"": 3}"
2607.07395,2026-07,cs.CV,"cs.CV, cs.AI, cs.LG",Benchmark/Evaluation,Multimodal | Reasoning | Theory/Methodology,0.2857,7,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 2, ""Efficiency/Optimization"": 0, ""Multimodal"": 2, ""Benchmark/Evaluation"": 2, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 1, ""Application"": 0}"
2607.07388,2026-07,cs.CL,"cs.CL, cs.LG",Efficiency/Optimization,Benchmark/Evaluation | RAG/Retrieval,0.6667,6,"{""RAG/Retrieval"": 1, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 4, ""Multimodal"": 0, ""Benchmark/Evaluation"": 1, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 0, ""Application"": 0}"
2607.07386,2026-07,cs.LG,cs.LG,Efficiency/Optimization,Benchmark/Evaluation | RAG/Retrieval | Reasoning,0.5,6,"{""RAG/Retrieval"": 1, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 1, ""Efficiency/Optimization"": 3, ""Multimodal"": 0, ""Benchmark/Evaluation"": 1, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 0, ""Application"": 0}"
2607.07382,2026-07,cs.LG,"cs.LG, astro-ph.HE, astro-ph.IM",Benchmark/Evaluation,Dataset/Benchmark | Multimodal,0.3333,6,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 0, ""Multimodal"": 2, ""Benchmark/Evaluation"": 2, ""Dataset/Benchmark"": 2, ""Theory/Methodology"": 0, ""Application"": 0}"
2607.07379,2026-07,cs.AI,"cs.AI, cs.LG",Agent/Tool Use,Benchmark/Evaluation,0.6667,3,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 2, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 0, ""Multimodal"": 0, ""Benchmark/Evaluation"": 1, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 0, ""Application"": 0}"
2607.07375,2026-07,cs.LG,"cs.LG, cs.AI",Multimodal,Alignment/Safety | Theory/Methodology,0.5,4,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 1, ""Reasoning"": 0, ""Efficiency/Optimization"": 0, ""Multimodal"": 2, ""Benchmark/Evaluation"": 0, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 1, ""Application"": 0}"
2607.07357,2026-07,cs.RO,"cs.RO, cs.AI",Multimodal,Benchmark/Evaluation | Efficiency/Optimization | Agent/Tool Use,0.3333,9,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 1, ""Alignment/Safety"": 1, ""Reasoning"": 0, ""Efficiency/Optimization"": 2, ""Multimodal"": 3, ""Benchmark/Evaluation"": 2, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 0, ""Application"": 0}"
2607.07321,2026-07,cs.AI,"cs.AI, cs.CL, cs.MA",Agent/Tool Use,Efficiency/Optimization | Reasoning | Benchmark/Evaluation,0.3333,9,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 3, ""Alignment/Safety"": 0, ""Reasoning"": 2, ""Efficiency/Optimization"": 3, ""Multimodal"": 0, ""Benchmark/Evaluation"": 1, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 0, ""Application"": 0}"
2607.07316,2026-07,cs.LG,cs.LG,Reasoning,Alignment/Safety | Theory/Methodology | Efficiency/Optimization,0.375,8,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 2, ""Reasoning"": 3, ""Efficiency/Optimization"": 1, ""Multimodal"": 0, ""Benchmark/Evaluation"": 0, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 2, ""Application"": 0}"
